I,U,d,,,,,,,,,,,,,,,,,,,,,,,
1.54,150,8.1,,,,,,,,,,,,,,,,,,,,,,,
1.5,150,8.7,,,,,,,,,,,,,,,,,,,,,,,
1.44,150,8.9,,,,,,,,,,,,,,,,,,,,,,,
1.4,150,9.20,,,,,,,,,,,,,,,,,,,,,,,
1.35,150,9,,,,,,,,,,,,,,,,,,,,,,,
1.3,150,10.00,,,,,,,,,,,,,,,,,,,,,,,
1.54,165,9.2,,,,,,,,,,,,,,,,,,,,,,,
1.5,165,9.4,,,,,,,,,,,,,,,,,,,,,,,
1.44,165,9.8,,,,,,,,,,,,,,,,,,,,,,,
1.4,165,10.1,,,,,,,,,,,,,,,,,,,,,,,
1.35,165,10.7,,,,,,,,,,,,,,,,,,,,,,,
1.3,165,11.5,,,,,,,,,,,,,,,,,,,,,,,
1.54,180,9.6,,,,,,,,,,,,,,,,,,,,,,,
1.5,180,9.8,,,,,,,,,,,,,,,,,,,,,,,
1.44,180,10.4,,,,,,,,,,,,,,,,,,,,,,,
1.4,180,10.8,,,,,,,,,,,,,,,,,,,,,,,
1.35,180,11.2,,,,,,,,,,,,,,,,,,,,,,,
1.30,180,11.8,,,,,,,,,,,,,,,,,,,,,,,
1.54,195,10.1,,,,,,,,,,,,,,,,,,,,,,,
1.5,195,10.6,,,,,,,,,,,,,,,,,,,,,,,
1.44,195,11.1,,,,,,,,,,,,,,,,,,,,,,,
1.4,195,11.6,,,,,,,,,,,,,,,,,,,,,,,
1.35,195,12.2,,,,,,,,,,,,,,,,,,,,,,,
1.3,195,12.8,,,,,,,,,,,,,,,,,,,,,,,